"Reference"     , "Qty", "Value"                      , "DNP", "Exclude from BOM", "Exclude from Board", "Footprint"                                                 , "Datasheet"                                                                                     , "Shop link"
"C19,C20"       , "2"  , "10uF"                       , ""   , ""                , ""                  , "Capacitor_SMD:C_0402_1005Metric"                           , "~"                                                                                             , ""
"D1"            , "1"  , "TXLED"                      , ""   , ""                , ""                  , "LED_SMD:LED_0402_1005Metric"                               , "~"                                                                                             , ""
"D2"            , "1"  , "D_shottky"                  , ""   , ""                , ""                  , "Diode_SMD:D_SOD-123"                                       , "~"                                                                                             , "https://www.lcsc.com/product-detail/C22374920.html?s_z=n_D_SOD-123%2520D_shottky"
"D3"            , "1"  , "WS2812B"                    , ""   , ""                , ""                  , "LED_SMD:LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm"                , "https://cdn-shop.adafruit.com/datasheets/WS2812B.pdf"                                          , "https://www.lcsc.com/product-detail/C114586.html?s_z=n_WS2812B%25205x5"
"D4"            , "1"  , "RXLED"                      , ""   , ""                , ""                  , "LED_SMD:LED_0402_1005Metric"                               , "~"                                                                                             , ""
"D5"            , "1"  , "SFDLED"                     , ""   , ""                , ""                  , "LED_SMD:LED_0402_1005Metric"                               , "~"                                                                                             , ""
"D6"            , "1"  , "RXOKLED"                    , ""   , ""                , ""                  , "LED_SMD:LED_0402_1005Metric"                               , "~"                                                                                             , ""
"DWM1"          , "1"  , "DWM1000"                    , ""   , ""                , ""                  , "RF_Module:DWM1000"                                         , "https://www.decawave.com/sites/default/files/resources/dwm1000-datasheet-v1.3.pdf"             , "https://www.aliexpress.com/item/1005006968042289.html?spm=a2g0o.productlist.main.4.12a0546485Cw39&aem_p4p_detail=2025112800111414233397752720280002780567&algo_pvid=1672a2ba-2c28-4e26-8bef-a617b139e1b6&algo_exp_id=1672a2ba-2c28-4e26-8bef-a617b139e1b6-3&pdp_ext_f=%7B%22order%22%3A%2260%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CZK%21864.24%21535.85%21%21%2140.45%2125.08%21%40210388c917643174745702964ee70c%2112000051951110549%21sea%21CZ%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A52b1352e%3Bm03_new_user%3A-29895&curPageLogUid=eR3sWZrN7rGD&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006968042289%7C_p_origin_prod%3A&search_p4p_id=2025112800111414233397752720280002780567_1"
"J1"            , "1"  , "L_GPIO"                     , ""   , ""                , ""                  , "Connector_PinHeader_2.54mm:PinHeader_1x15_P2.54mm_Vertical", "~"                                                                                             , "kus"
"J2"            , "1"  , "R_GPIO"                     , ""   , ""                , ""                  , "Connector_PinHeader_2.54mm:PinHeader_1x15_P2.54mm_Vertical", "~"                                                                                             , "kus"
"J4"            , "1"  , "USB_C_Receptacle_USB2.0_14P", ""   , ""                , ""                  , "Connector_USB:USB_C_Receptacle_G-Switch_GT-USB-7010ASV"    , "https://www.usb.org/sites/default/files/documents/usb_type-c.zip"                              , "https://www.lcsc.com/product-detail/C5362630.html?s_z=n_USB-7010"
"L2"            , "1"  , "2.2uH 1.2A"                 , ""   , ""                , ""                  , "Inductor_SMD:L_0805_2012Metric"                            , "~"                                                                                             , "https://www.lcsc.com/product-detail/C281115.html?s_z=n_L_0805%25202.2uH%25201.2A"
"R1,R2,R3,R4,R5", "5"  , "10k"                        , ""   , ""                , ""                  , "Resistor_SMD:R_0402_1005Metric"                            , "~"                                                                                             , "https://www.lcsc.com/product-detail/C2936656.html?s_z=n_R%252010K%25200402"
"R6,R7,R8,R9"   , "4"  , "R_Small"                    , ""   , ""                , ""                  , "Resistor_SMD:R_0402_1005Metric"                            , "~"                                                                                             , ""
"R12,R13"       , "2"  , "5.1k"                       , ""   , ""                , ""                  , "Resistor_SMD:R_0402_1005Metric"                            , "~"                                                                                             , "https://www.lcsc.com/product-detail/C413002.html?s_z=n_R%25205.1K%25200402"
"SWITCH1"       , "1"  , "MODE"                       , ""   , ""                , ""                  , "Button_Switch_THT:SW_PUSH_6mm"                             , "~"                                                                                             , "https://www.lcsc.com/product-detail/C393938.html?s_z=n_SW%2520push%25206mm%2520THT"
"SWITCH2"       , "1"  , "RESET"                      , ""   , ""                , ""                  , "Button_Switch_THT:SW_PUSH_6mm"                             , "~"                                                                                             , "https://www.lcsc.com/product-detail/C393938.html?s_z=n_SW%2520push%25206mm%2520THT"
"U1"            , "1"  , "ESP32-C3-WROOM-02"          , ""   , ""                , ""                  , "RF_Module:ESP32-C3-WROOM-02"                               , "https://www.espressif.com/sites/default/files/documentation/esp32-c3-wroom-02_datasheet_en.pdf", "https://www.lcsc.com/product-detail/C2934560.html?s_z=n_ESP32-C3"
"U3"            , "1"  , "TPS62291"                   , ""   , ""                , ""                  , "Package_SON:WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm_ThermalVias", "https://www.ti.com/lit/ds/symlink/tps62291.pdf"                                                , "https://www.lcsc.com/product-detail/C52772.html?s_z=n_TPS62291"
